relationship_name,count,pct
Victim Was Stranger,4935,55.03
Relationship Unknown,1974,22.01
Victim was Otherwise Known,1527,17.03
Victim Was Acquaintance,274,3.06
Victim Was Boyfriend/Girlfriend,93,1.04
Victim Was Spouse,39,0.43
MISSING,39,0.43
Victim was Employee,23,0.26
Victim Was Parent,14,0.16
Victim Was Other Family Member,7,0.08
Victim Was Sibling,6,0.07
Victim Was Ex-Relationship (Ex-Boyfriend/Girlfriend),6,0.07
Victim Was Friend,6,0.07
Victim Was Offender,5,0.06
Victim Was In-law,4,0.04
Victim Was Stepsibling,3,0.03
Victim Was Child,3,0.03
Victim was Ex-Spouse,3,0.03
Victim Was Common-Law Spouse,2,0.02
Victim Was Babysittee,1,0.01
Victim was Employer,1,0.01
Victim Was Child of Boyfriend or Girlfriend,1,0.01
Victim Was Stepchild,1,0.01
Victim Was Neighbor,1,0.01
