var1,var2,correlation,abs_correlation,strength,direction,likely_structural,scale_effect,redundant_feature_pair
asian_victims,victim_offender_nonmarried_partner,0.6982862157673848,0.6982862157673848,moderate,positive,False,False,False
fem_poverty_rate,all_labor_force_part,-0.6955942996872607,0.6955942996872607,moderate,negative,False,False,False
hispanic_victims,firearm_nonmarried,0.6937035310289081,0.6937035310289081,moderate,positive,False,False,False
mhhi,avg_years_schooling,0.6930198602437807,0.6930198602437807,moderate,positive,False,False,False
%_at_least_bach_degree,gun_deaths_per_100k,-0.6929878755942285,0.6929878755942285,moderate,negative,False,False,False
hispanic_victims,fem_pop,0.6917997315638205,0.6917997315638205,moderate,positive,False,True,False
fem_poverty_rate,mhhi,-0.6917571585790354,0.6917571585790354,moderate,negative,False,False,False
all_labor_force_part,mhhi,0.6914791380883619,0.6914791380883619,moderate,positive,False,False,False
male_poverty_rate,all_labor_force_part,-0.6875799480005574,0.6875799480005574,moderate,negative,False,False,False
near_school,fem_pop,0.6863940768938668,0.6863940768938668,moderate,positive,False,True,False
fem_labor_force_part,mhhi,0.68314942927802,0.68314942927802,moderate,positive,False,False,False
all_labor_force_part,avg_years_schooling,0.6810373065383628,0.6810373065383628,moderate,positive,False,False,False
%_fem_age_18-29,%_fem_age_30-39,0.6794802956500963,0.6794802956500963,moderate,positive,False,False,False
all_labor_force_part,%_at_least_bach_degree,0.6788134991476223,0.6788134991476223,moderate,positive,False,False,False
asian_victims,victims_age_18_29,0.67563869288376,0.67563869288376,moderate,positive,False,False,False
%_fem_age_40-49,fem_age_60-69,-0.6625340094967198,0.6625340094967198,moderate,negative,False,False,False
fem_age_80+,age_coef_variation,0.658064345621349,0.658064345621349,moderate,positive,False,False,False
white_pop,hispanic_pop,-0.6561258893053742,0.6561258893053742,moderate,negative,False,False,False
victims_age_80_plus,firearm_nonmarried,0.6561155278806046,0.6561155278806046,moderate,positive,False,False,False
fem_poverty_rate,%_at_least_high_school,-0.6551274084186905,0.6551274084186905,moderate,negative,False,False,False
male_poverty_rate,%_at_least_high_school,-0.6526021843780928,0.6526021843780928,moderate,negative,False,False,False
