var1,var2,correlation,abs_correlation,strength,direction,likely_structural,scale_effect,redundant_feature_pair
total_incidents,victims_age_30_39,0.9996058277700253,0.9996058277700253,strong,positive,True,False,True
total_incidents,victims_age_40_49,0.998705151681169,0.998705151681169,strong,positive,True,False,True
victims_age_30_39,victims_age_40_49,0.998380520526885,0.998380520526885,strong,positive,False,False,True
total_incidents,victims_age_18_29,0.9977291156822072,0.9977291156822072,strong,positive,True,False,True
victims_age_18_29,victims_age_30_39,0.9967590000529177,0.9967590000529177,strong,positive,False,False,True
total_incidents,victims_age_50_59,0.9963177522617434,0.9963177522617434,strong,positive,True,False,True
victims_age_40_49,victims_age_50_59,0.9961684151699539,0.9961684151699539,strong,positive,False,False,True
victims_age_30_39,victims_age_50_59,0.9956272854689607,0.9956272854689607,strong,positive,False,False,True
victims_age_18_29,victims_age_40_49,0.9941362719741671,0.9941362719741671,strong,positive,False,False,True
victims_age_50_59,victims_age_60_69,0.9928130331655944,0.9928130331655944,strong,positive,False,False,True
total_incidents,dv_total,0.9924798293619062,0.9924798293619062,strong,positive,True,False,True
victims_age_30_39,dv_total,0.9922617833551785,0.9922617833551785,strong,positive,True,False,True
victims_age_40_49,dv_total,0.9920820584479858,0.9920820584479858,strong,positive,True,False,True
victims_age_18_29,dv_total,0.9915763295851258,0.9915763295851258,strong,positive,True,False,True
victims_age_60_69,victims_age_70_79,0.9904441224376789,0.9904441224376789,strong,positive,False,False,True
victims_age_18_29,victims_age_50_59,0.9897895549852074,0.9897895549852074,strong,positive,False,False,True
victim_offender_nonmarried_partner,dv_total,0.988884100623683,0.988884100623683,strong,positive,True,False,True
victims_age_40_49,victims_age_60_69,0.9877890684943581,0.9877890684943581,strong,positive,False,False,True
victims_age_50_59,dv_total,0.9869010969918164,0.9869010969918164,strong,positive,True,False,True
victim_offender_rel_spouse,dv_total,0.9849828841601584,0.9849828841601584,strong,positive,True,False,True
total_incidents,victims_age_60_69,0.9847368870273691,0.9847368870273691,strong,positive,True,False,True
victims_age_30_39,victims_age_60_69,0.9846438019849475,0.9846438019849475,strong,positive,False,False,True
victims_age_18_29,victim_offender_nonmarried_partner,0.9846348932478214,0.9846348932478214,strong,positive,False,False,True
total_incidents,victim_offender_nonmarried_partner,0.9845835231399332,0.9845835231399332,strong,positive,True,False,True
victims_age_30_39,victim_offender_nonmarried_partner,0.9832664098806285,0.9832664098806285,strong,positive,False,False,True
victims_age_40_49,victim_offender_rel_spouse,0.982955038085546,0.982955038085546,strong,positive,False,False,True
victims_age_40_49,victim_offender_nonmarried_partner,0.9825229979233275,0.9825229979233275,strong,positive,False,False,True
white_victims,victim_offender_rel_spouse,0.9822264547469378,0.9822264547469378,strong,positive,False,False,True
victims_age_50_59,victim_offender_nonmarried_partner,0.9803336751676548,0.9803336751676548,strong,positive,False,False,True
total_incidents,victim_offender_rel_spouse,0.9790060176927727,0.9790060176927727,strong,positive,True,False,False
victims_age_30_39,victim_offender_rel_spouse,0.9783355747694801,0.9783355747694801,strong,positive,False,False,False
white_victims,victims_age_40_49,0.9772170590889971,0.9772170590889971,strong,positive,False,False,False
