column,variable_type,count,missing_count,missing_pct,mean,std,min,25%,median,75%,max,iqr,skew,kurtosis,high_skew,extreme_skew,near_zero_variance
data_year,time,204,0,0.0,2022.5,1.1207843840221812,2021.0,2021.75,2022.5,2023.25,2024.0,1.5,0.0,-1.3639328111915672,False,False,False
total_incidents,count,204,0,0.0,34284.77450980392,38853.05994058812,229.0,9163.0,22945.0,41735.5,236100.0,32572.5,3.0156277729798657,12.046904087483211,True,True,False
white_victims,count,204,0,0.0,20213.058823529413,25045.990466927622,129.0,5184.5,14754.0,25783.25,159029.0,20598.75,3.847219172320578,17.78301675413481,True,True,False
black_victims,count,204,0,0.0,11926.598039215687,14543.538863193437,40.0,876.75,5838.5,18162.0,71288.0,17285.25,1.711452022697191,3.130580930206954,True,False,False
nat_amer_victims,count,204,0,0.0,527.3676470588235,895.3548473054977,1.0,43.75,125.0,453.5,4185.0,409.75,2.3073685264056008,4.579684220345348,True,True,False
asian_victims,count,204,0,0.0,520.3088235294117,1045.3548565340848,8.0,68.0,224.0,473.5,8754.0,405.5,4.819253187273635,28.096172816890792,True,True,False
hispanic_victims,count,204,0,0.0,5577.544117647059,14142.584556715821,11.0,647.25,1836.5,4856.25,96718.0,4209.0,5.211066858110273,28.56296550621787,True,True,False
other_race_victims,count,204,0,0.0,1097.4411764705883,2031.8020154582691,2.0,224.0,528.0,1176.0,23871.0,952.0,7.626145129121257,79.18465884554773,True,True,False
victims_age_18_29,count,204,0,0.0,13083.18137254902,15081.650143001842,102.0,3397.25,9057.0,15726.0,97079.0,12328.75,3.1299853940983424,13.07514660458126,True,True,False
victims_age_30_39,count,204,0,0.0,9882.28431372549,11217.66923085873,70.0,2596.0,6723.5,11908.75,67643.0,9312.75,3.022304493302577,12.033578490864457,True,True,False
victims_age_40_49,count,204,0,0.0,5893.107843137255,6705.372368418476,41.0,1550.0,3954.5,7475.25,41292.0,5925.25,3.123535956496926,12.82065555567597,True,True,False
victims_age_50_59,count,204,0,0.0,3221.975490196078,3533.7582673418888,13.0,831.75,2116.5,4277.0,20705.0,3445.25,2.727844538478257,9.948077324246597,True,True,False
victims_age_60_69,count,204,0,0.0,1516.0,1663.8824679030288,3.0,381.5,1014.0,2067.5,9664.0,1686.0,2.578381385545832,8.774828489993961,True,True,False
victims_age_70_79,count,204,0,0.0,502.97549019607845,568.839943366945,0.0,124.0,344.0,681.75,3528.0,557.75,2.6408187395546547,9.265225667148336,True,True,False
victims_age_80_plus,count,204,0,0.0,185.25,211.18131553136195,0.0,42.0,114.5,281.5,1578.0,239.5,2.886590488360122,12.515611120973027,True,True,False
involving_firearm,count,204,0,0.0,2481.857843137255,3513.0132764031064,2.0,372.25,1502.0,3041.0,22298.0,2668.75,3.1961937638182127,13.197028746291373,True,True,False
sex_assaults,count,204,0,0.0,1430.7794117647059,1518.9649818629,3.0,489.25,1088.0,1847.0,9700.0,1357.75,2.99230564037868,11.698438857808332,True,True,False
victim_offender_nonmarried_partner,count,204,0,0.0,7995.558823529412,8769.808798151113,33.0,2066.5,5583.0,10400.75,56749.0,8334.25,3.036679080356169,12.339288395876522,True,True,False
