state,variable,template_sentence
Alabama,involving_firearm,"In Alabama after 2022, involving_firearm averaged 3495.00, which is down 20.0% from the 2021 value of 4368.00."
Alabama,dv_total,"In Alabama after 2022, dv_total averaged 20165.00, which is up 8.3% from the 2021 value of 18612.00."
Alabama,firearm_nonmarried,"In Alabama after 2022, firearm_nonmarried averaged 351.50, which is down 19.7% from the 2021 value of 438.00."
Alaska,involving_firearm,"In Alaska after 2022, involving_firearm averaged 194.00, which is up 14.8% from the 2021 value of 169.00."
Alaska,dv_total,"In Alaska after 2022, dv_total averaged 2217.00, which is up 13.3% from the 2021 value of 1957.00."
Alaska,firearm_nonmarried,"In Alaska after 2022, firearm_nonmarried averaged 44.00, which is up 41.9% from the 2021 value of 31.00."
Arizona,involving_firearm,"In Arizona after 2022, involving_firearm averaged 1669.00, which is up 64.8% from the 2021 value of 1013.00."
Arizona,dv_total,"In Arizona after 2022, dv_total averaged 14860.50, which is up 51.9% from the 2021 value of 9781.00."
Arizona,firearm_nonmarried,"In Arizona after 2022, firearm_nonmarried averaged 168.50, which is up 30.6% from the 2021 value of 129.00."
Arkansas,involving_firearm,"In Arkansas after 2022, involving_firearm averaged 2606.50, which is down 22.5% from the 2021 value of 3365.00."
Arkansas,dv_total,"In Arkansas after 2022, dv_total averaged 10694.50, which is down 11.9% from the 2021 value of 12142.00."
Arkansas,firearm_nonmarried,"In Arkansas after 2022, firearm_nonmarried averaged 276.00, which is down 31.5% from the 2021 value of 403.00."
California,involving_firearm,"In California after 2022, involving_firearm averaged 5754.50, which is up 1004.5% from the 2021 value of 521.00."
California,dv_total,"In California after 2022, dv_total averaged 63255.50, which is up 20437.5% from the 2021 value of 308.00."
California,firearm_nonmarried,"In California after 2022, firearm_nonmarried averaged 355.00, which is up 11733.3% from the 2021 value of 3.00."
Colorado,involving_firearm,"In Colorado after 2022, involving_firearm averaged 3581.00, which is up 9.6% from the 2021 value of 3268.00."
Colorado,dv_total,"In Colorado after 2022, dv_total averaged 15145.50, which is down 3.6% from the 2021 value of 15709.00."
Colorado,firearm_nonmarried,"In Colorado after 2022, firearm_nonmarried averaged 237.50, which is down 9.0% from the 2021 value of 261.00."
Connecticut,involving_firearm,"In Connecticut after 2022, involving_firearm averaged 185.00, which is down 31.7% from the 2021 value of 271.00."
Connecticut,dv_total,"In Connecticut after 2022, dv_total averaged 5572.50, which is down 8.1% from the 2021 value of 6064.00."
Connecticut,firearm_nonmarried,"In Connecticut after 2022, firearm_nonmarried averaged 27.00, which is up 35.0% from the 2021 value of 20.00."
Delaware,involving_firearm,"In Delaware after 2022, involving_firearm averaged 647.50, which is down 7.6% from the 2021 value of 701.00."
Delaware,dv_total,"In Delaware after 2022, dv_total averaged 3354.00, which is up 3.8% from the 2021 value of 3231.00."
Delaware,firearm_nonmarried,"In Delaware after 2022, firearm_nonmarried was unchanged, remaining at about 33.00 compared with 2021."
District of Columbia,involving_firearm,"In District of Columbia after 2022, involving_firearm averaged 498.00, which is up 113.7% from the 2021 value of 233.00."
District of Columbia,dv_total,"In District of Columbia after 2022, dv_total averaged 2490.00, which is up 129.5% from the 2021 value of 1085.00."
District of Columbia,firearm_nonmarried,"In District of Columbia after 2022, firearm_nonmarried averaged 31.50, which is up 162.5% from the 2021 value of 12.00."
Florida,involving_firearm,"In Florida after 2022, involving_firearm averaged 4095.00, which is up 204650.0% from the 2021 value of 2.00."
Florida,dv_total,"In Florida after 2022, dv_total averaged 23400.50, which is up 34312.5% from the 2021 value of 68.00."
Georgia,involving_firearm,"In Georgia after 2022, involving_firearm averaged 6226.00, which is down 5.1% from the 2021 value of 6563.00."
Georgia,dv_total,"In Georgia after 2022, dv_total averaged 26886.50, which is up 5.1% from the 2021 value of 25589.00."
Georgia,firearm_nonmarried,"In Georgia after 2022, firearm_nonmarried averaged 415.50, which is down 20.2% from the 2021 value of 521.00."
Hawaii,involving_firearm,"In Hawaii after 2022, involving_firearm averaged 88.50, which is down 17.3% from the 2021 value of 107.00."
Hawaii,dv_total,"In Hawaii after 2022, dv_total averaged 2008.50, which is down 6.7% from the 2021 value of 2153.00."
Hawaii,firearm_nonmarried,"In Hawaii after 2022, firearm_nonmarried averaged 8.50, which is down 22.7% from the 2021 value of 11.00."
Idaho,involving_firearm,"In Idaho after 2022, involving_firearm averaged 302.00, which is down 0.3% from the 2021 value of 303.00."
Idaho,dv_total,"In Idaho after 2022, dv_total averaged 4455.50, which is up 1.2% from the 2021 value of 4401.00."
Idaho,firearm_nonmarried,"In Idaho after 2022, firearm_nonmarried averaged 45.00, which is up 7.1% from the 2021 value of 42.00."
Illinois,involving_firearm,"In Illinois after 2022, involving_firearm averaged 2711.00, which is up 30.0% from the 2021 value of 2085.00."
Illinois,dv_total,"In Illinois after 2022, dv_total averaged 39052.50, which is up 106.8% from the 2021 value of 18887.00."
Illinois,firearm_nonmarried,"In Illinois after 2022, firearm_nonmarried averaged 178.00, which is up 56.1% from the 2021 value of 114.00."
Indiana,involving_firearm,"In Indiana after 2022, involving_firearm averaged 3580.00, which is up 64.1% from the 2021 value of 2181.00."
Indiana,dv_total,"In Indiana after 2022, dv_total averaged 17763.00, which is up 9.7% from the 2021 value of 16196.00."
Indiana,firearm_nonmarried,"In Indiana after 2022, firearm_nonmarried averaged 326.50, which is up 25.1% from the 2021 value of 261.00."
Iowa,involving_firearm,"In Iowa after 2022, involving_firearm averaged 514.50, which is down 2.4% from the 2021 value of 527.00."
Iowa,dv_total,"In Iowa after 2022, dv_total averaged 7292.00, which is down 7.3% from the 2021 value of 7868.00."
Iowa,firearm_nonmarried,"In Iowa after 2022, firearm_nonmarried averaged 94.50, which is down 3.6% from the 2021 value of 98.00."
Kansas,involving_firearm,"In Kansas after 2022, involving_firearm averaged 1512.50, which is up 44.0% from the 2021 value of 1050.00."
Kansas,dv_total,"In Kansas after 2022, dv_total averaged 9670.00, which is up 10.2% from the 2021 value of 8774.00."
Kansas,firearm_nonmarried,"In Kansas after 2022, firearm_nonmarried averaged 129.00, which is up 12.2% from the 2021 value of 115.00."
Kentucky,involving_firearm,"In Kentucky after 2022, involving_firearm averaged 1302.00, which is down 25.3% from the 2021 value of 1742.00."
Kentucky,dv_total,"In Kentucky after 2022, dv_total averaged 9974.50, which is down 8.9% from the 2021 value of 10952.00."
Kentucky,firearm_nonmarried,"In Kentucky after 2022, firearm_nonmarried averaged 139.00, which is down 37.7% from the 2021 value of 223.00."
Louisiana,involving_firearm,"In Louisiana after 2022, involving_firearm averaged 2667.00, which is down 13.2% from the 2021 value of 3074.00."
Louisiana,dv_total,"In Louisiana after 2022, dv_total averaged 14342.50, which is up 3.5% from the 2021 value of 13851.00."
