weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Personal Weapons,t,None (no bias),Relationship Unknown,Jail/Prison/Penitentiary/Corrections Facility,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,23,23 Years Old,"Handling, Transporting, Custody of Prisoners",I,JASPER,Jasper,Alabama,14243,37,5,3,15,2.8,4.2,2023-07-22 00:00:00,18,Not Hispanic or Latino,Minor Injury,2023,5,F,23,
None,f,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,29,29 Years Old,"Handling, Transporting, Custody of Prisoners",I,CRAWFORD,Crawford,Arkansas,26319,30,21,7,19,1.4,2.9,2023-12-16 00:00:00,9,Not Hispanic or Latino,None,2023,5,F,29,
Other,t,None (no bias),Victim Was Stranger,Drug Store/Doctor's Office/Hospital,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,40,40 Years Old,Investigating Suspicious Persons or Circumstances,I,CONCORD,Concord,California,121331,119,7,19,42,1.1,1.5,2023-05-27 00:00:00,4,Not Hispanic or Latino,Minor Injury,2023,5,F,25,55
None,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,33,33 Years Old,Responding to Disturbance Call,I,RIVERSIDE,Riverside,California,323473,314,36,43,137,1.1,1.6,2023-04-20 00:00:00,13,Hispanic or Latino,None,2023,5,F,33,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,32,32 Years Old,"Handling, Transporting, Custody of Prisoners",I,EL PASO,El Paso,Colorado,207095,420,109,112,189,2.6,4.0,2023-03-24 00:00:00,14,Not Hispanic or Latino,Minor Injury,2023,5,F,30,35
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,23,23 Years Old,Responding to Disturbance Call,I,GRAND JUNCTION,Grand Junction,Colorado,69240,94,32,19,70,1.6,3.1,2023-03-09 00:00:00,17,Not Hispanic or Latino,None,2023,5,F,23,
Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,Attempting Other Arrests,I,METRO TRANSIT POLICE,Metro Transit Police,District of Columbia,0,371,77,68,122,0,0,2023-09-02 00:00:00,16,Unknown,None,2023,5,F,20,30
Other,t,None (no bias),Victim Was Stranger,Department/Discount Store,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,42,42 Years Old,"Handling, Transporting, Custody of Prisoners",I,JACKSONVILLE SHERIFF'S OFFICE,Jacksonville Sheriff's Office,Florida,983663,1598,616,304,529,1.9,3.1,2023-08-31 00:00:00,0,Not Hispanic or Latino,Other Major Injury,2023,5,F,42,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,Jail/Prison/Penitentiary/Corrections Facility,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,30,30 Years Old,All Other,I,MIAMI-DADE,Miami-Dade,Florida,1160149,2360,270,790,837,2.7,3.7,2023-09-30 00:00:00,0,Not Hispanic or Latino,Other Major Injury,2023,5,F,30,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,33,33 Years Old,Responding to Disturbance Call,I,TAMPA,Tampa,Florida,403407,774,79,170,186,2.3,3.0,2023-03-18 00:00:00,1,Hispanic or Latino,None,2023,5,F,33,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,37,37 Years Old,Responding to Disturbance Call,I,MCHENRY,McHenry,Illinois,66707,86,244,19,70,1.6,6.3,2023-07-24 00:00:00,18,Hispanic or Latino,None,2023,5,F,37,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,24,24 Years Old,Attempting Other Arrests,I,ROCKFORD,Rockford,Illinois,145873,239,8,39,34,1.9,2.2,2023-02-15 00:00:00,11,Unknown,None,2023,5,F,24,
Personal Weapons,t,None (no bias),Victim was Otherwise Known,School-Elementary/Secondary,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,MACHESNEY PARK,Machesney Park,Illinois,22663,15,0,5,0,0.9,0.9,2023-12-05 00:00:00,7,Not Hispanic or Latino,Minor Injury,2023,5,F,25,
