weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,agency_name,latitude,longitude,reporting_type,ori,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Firearm,t,None (no bias),Relationship Unknown,Department/Discount Store,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,28,28 Years Old,Responding to Disturbance Call,Westminster Police Department,33.75929,-117.986336,I,CA0302400,WESTMINSTER,Westminster,California,88710,80,2,13,39,1.0,1.5,2023-02-23 00:00:00,15,Hispanic or Latino,None,2023,5,F,28,
Firearm,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,30,30 Years Old,All Other,Rutherford County Sheriff's Office,35.83635,-86.409584,I,TN0750000,RUTHERFORD,Rutherford,Tennessee,104616,232,184,25,98,2.5,5.2,2023-04-19 00:00:00,17,Not Hispanic or Latino,None,2023,5,F,30,
Firearm,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,Gainesville Police Department,29.67574,-82.357221,I,FL0010100,GAINESVILLE,Gainesville,Florida,146744,179,35,46,51,1.5,2.1,2023-04-16 00:00:00,19,Not Hispanic or Latino,None,2023,5,F,31,
Firearm,t,None (no bias),Victim Was Acquaintance,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,25,25 Years Old,Responding to Disturbance Call,Burlington Police Department,40.811058,-91.10232,I,IA0290100,BURLINGTON,Burlington,Iowa,23455,34,1,6,5,1.7,2.0,2023-01-21 00:00:00,22,Unknown,None,2023,5,F,20,30
Firearm,t,None (no bias),Victim Was Stranger,Convenience Store,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,25,25 Years Old,Investigating Suspicious Persons or Circumstances,Memphis Police Department,35.14924,-90.047455,I,TNMPD0000,MEMPHIS,Memphis,Tennessee,616061,1553,163,392,334,3.2,4.0,2023-05-27 00:00:00,12,Not Hispanic or Latino,None,2023,5,F,25,
Firearm,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,28,28 Years Old,Investigating Suspicious Persons or Circumstances,St. Louis Police Department,38.625248,-90.19926,I,MOSPD0000,ST. LOUIS,St. Louis,Missouri,280108,779,134,147,239,3.3,4.6,2023-01-21 00:00:00,22,Not Hispanic or Latino,None,2023,5,F,28,
Firearm,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,28,28 Years Old,Investigating Suspicious Persons or Circumstances,St. Louis Police Department,38.625248,-90.19926,I,MOSPD0000,ST. LOUIS,St. Louis,Missouri,280108,779,134,147,239,3.3,4.6,2023-01-21 00:00:00,22,Not Hispanic or Latino,None,2023,5,F,28,
Firearm,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,29,29 Years Old,Burglaries in Progress or Pursuing Burglary Suspects,Sparks Police Department,39.53786,-119.76551,I,NV0160200,SPARKS,Sparks,Nevada,109403,114,15,14,43,1.2,1.7,2023-04-06 00:00:00,20,Not Hispanic or Latino,None,2023,5,F,25,34
Firearm,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,29,29 Years Old,Burglaries in Progress or Pursuing Burglary Suspects,Sparks Police Department,39.53786,-119.76551,I,NV0160200,SPARKS,Sparks,Nevada,109403,114,15,14,43,1.2,1.7,2023-04-06 00:00:00,20,Not Hispanic or Latino,None,2023,5,F,25,34
Firearm,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,29,29 Years Old,Burglaries in Progress or Pursuing Burglary Suspects,Sparks Police Department,39.53786,-119.76551,I,NV0160200,SPARKS,Sparks,Nevada,109403,114,15,14,43,1.2,1.7,2023-04-06 00:00:00,20,Not Hispanic or Latino,None,2023,5,F,25,34
Firearm,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,29,29 Years Old,Responding to Disturbance Call,Baton Rouge Police Department,30.544002,-91.093174,I,LA0170200,BATON ROUGE,Baton Rouge,Louisiana,219086,511,10,63,60,2.6,2.9,2023-08-02 00:00:00,10,Not Hispanic or Latino,Minor Injury,2023,5,F,29,
Firearm,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,Gainesville Police Department,29.67574,-82.357221,I,FL0010100,GAINESVILLE,Gainesville,Florida,146744,179,35,46,51,1.5,2.1,2023-04-16 00:00:00,19,Not Hispanic or Latino,None,2023,5,F,31,
Firearm,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,Gainesville Police Department,29.67574,-82.357221,I,FL0010100,GAINESVILLE,Gainesville,Florida,146744,179,35,46,51,1.5,2.1,2023-04-16 00:00:00,19,Not Hispanic or Latino,None,2023,5,F,31,
Firearm,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,25,25 Years Old,Investigating Suspicious Persons or Circumstances,Sacramento County Sheriff's Office,38.450011,-121.340441,I,CA0340000,SACRAMENTO,Sacramento,California,604738,1122,253,208,430,2.2,3.3,2023-03-29 00:00:00,21,Not Hispanic or Latino,None,2023,5,F,22,29
Firearm,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,31,31 Years Old,Responding to Disturbance Call,Harris County Sheriff's Office,29.761494,-95.3576,I,TX1010000,HARRIS,Harris,Texas,2057899,1800,1105,396,1225,1.1,2.2,2023-08-12 00:00:00,2,Hispanic or Latino,None,2023,5,F,31,
Firearm,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,Gainesville Police Department,29.67574,-82.357221,I,FL0010100,GAINESVILLE,Gainesville,Florida,146744,179,35,46,51,1.5,2.1,2023-04-16 00:00:00,19,Not Hispanic or Latino,None,2023,5,F,31,
