weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,data_year,victim_type_id,sex_code,age_range_low_num,age_range_high_num
Handgun,t,None (no bias),Victim was Otherwise Known,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,27,27 Years Old,Ambush - No Warning,I,OAKDALE,Oakdale,Minnesota,28214,32,1,5,5,1.3,1.5,2024-03-11 00:00:00,21,Not Hispanic or Latino,None,2024,5,F,27,
Personal Weapons,t,None (no bias),Victim Was Stranger,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,09,Assault Offenses,A    ,Black or African American,20,30,30 Years Old,"Handling, Transporting, Custody of Prisoners",I,NORFOLK,Norfolk,Virginia,230460,469,33,50,117,2.3,2.9,2024-06-14 00:00:00,15,Not Hispanic or Latino,None,2024,5,F,30,
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,35,35 Years Old,All Other,I,JACKSONVILLE SHERIFF'S OFFICE,Jacksonville Sheriff's Office,Florida,1017014,1578,705,290,577,1.8,3.1,2024-09-24 00:00:00,0,Not Hispanic or Latino,None,2024,5,F,35,
Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,27,27 Years Old,Handling Persons with Mental Illness,I,ELGIN,Elgin,Illinois,112879,155,23,45,37,1.8,2.3,2024-04-07 00:00:00,23,Hispanic or Latino,Other Major Injury,2024,5,F,27,
Personal Weapons,t,None (no bias),Victim Was Stranger,Department/Discount Store,Simple Assault,Person,f,t,09,Assault Offenses,A    ,White,10,49,49 Years Old,Responding to Disturbance Call,I,BELLEVILLE,Belleville,Illinois,40225,61,6,13,20,1.8,2.5,2024-01-11 00:00:00,16,Not Hispanic or Latino,Minor Injury,2024,5,F,18,81
Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,26,26 Years Old,Responding to Disturbance Call,I,GALT,Galt,California,25806,26,3,7,12,1.3,1.9,2024-12-03 00:00:00,1,Hispanic or Latino,None,2024,5,F,26,
Handgun,t,None (no bias),Relationship Unknown,Department/Discount Store,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,25,25 Years Old,Investigating Suspicious Persons or Circumstances,I,HARRIS COUNTY CONSTABLE: PRECINCT 4,Harris County Constable:,Texas,0,538,7,114,47,0,0,2024-09-16 00:00:00,13,Not Hispanic or Latino,None,2024,5,F,25,
Handgun,t,None (no bias),Relationship Unknown,Department/Discount Store,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,25,25 Years Old,Investigating Suspicious Persons or Circumstances,I,HARRIS COUNTY CONSTABLE: PRECINCT 4,Harris County Constable:,Texas,0,538,7,114,47,0,0,2024-09-16 00:00:00,13,Not Hispanic or Latino,None,2024,5,F,25,
Handgun,t,None (no bias),Relationship Unknown,Department/Discount Store,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,Black or African American,20,25,25 Years Old,Investigating Suspicious Persons or Circumstances,I,HARRIS COUNTY CONSTABLE: PRECINCT 4,Harris County Constable:,Texas,0,538,7,114,47,0,0,2024-09-16 00:00:00,13,Not Hispanic or Latino,None,2024,5,F,25,
Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,36,36 Years Old,Responding to Disturbance Call,I,MINNEAPOLIS,Minneapolis,Minnesota,423282,490,94,87,121,1.4,1.9,2024-05-27 00:00:00,0,Not Hispanic or Latino,Minor Injury,2024,5,F,36,
Blunt Object,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,04,Assault Offenses,A    ,White,10,36,36 Years Old,Responding to Disturbance Call,I,MINNEAPOLIS,Minneapolis,Minnesota,423282,490,94,87,121,1.4,1.9,2024-05-27 00:00:00,0,Not Hispanic or Latino,Minor Injury,2024,5,F,36,
