state_name,data_year,total_incidents,white_victims,black_victims,nat_amer_victims,asian_victims,hispanic_victims,other_race_victims,victims_age_18_29,victims_age_30_39,victims_age_40_49,victims_age_50_59,victims_age_60_69,victims_age_70_79,victims_age_80_plus,involving_firearm,sex_assaults,victim_offender_nonmarried_partner,victim_offender_rel_spouse,dv_total,firearm_nonmarried,near_school,on_tribal_lands,fem_pop,white_pop,black_pop,nat_amer_pop,asian_pop,hispanic_pop,other_race_pop,diversity_index,%_fem_age_18-29,%_fem_age_30-39,%_fem_age_40-49,fem_age_50-59,fem_age_60-69,fem_age_70-79,fem_age_80+,age_coef_variation,fem_poverty_rate,male_poverty_rate,poverty_gender_disparity_score,fem_labor_force_part,all_labor_force_part,labor_force_ratio,unemployment_rate,mhhi,%_at_least_bach_degree,%_at_least_high_school,avg_years_schooling,gun_deaths_per_100k,white_adj_rate,black_adj_rate,nat_amer_adj_rate,asian_adj_rate,hispanic_adj_rate
Alabama,2021,36000,14280,18897,31,105,645,2687,13768,10321,6369,3284,1575,535,148,4368,941,8345,3490,18612,438,248,1,2038178.8,0.641532918,0.257599144,0.003179046,0.013483861,0.04711107,0.037093961,0.51829086,0.189434215,0.159842699,0.156970527,0.161622229,0.166411308,0.1084581,0.057260923,0.527954329,0.179,0.142,1.26056338,0.530470521,0.577143878,0.919130464,0.053,53913,0.274328873,0.879327181,13.24817426,23.6,1092.111504,3599.201553,478.434624,382.0610388,671.7295697
Alabama,2022,41324,19377,20821,63,134,1203,929,14989,11696,7437,4173,2039,762,228,3689,850,9164,4091,19099,344,457,0,2065313.2,0.640518803,0.255503424,0.002501628,0.01511185,0.048573635,0.037790661,0.520431505,0.190983237,0.161319358,0.154198404,0.158653903,0.165791319,0.112951876,0.056101903,0.496688543,0.178,0.145,1.227586207,0.537873136,0.585824454,0.918147292,0.043,59674,0.288003709,0.887969636,13.34770948,26.4,1464.767634,3945.653457,1219.359874,429.3398928,1199.165434
Alabama,2023,42442,20366,21021,80,132,1391,843,14981,11932,7887,4269,2232,847,294,3526,771,9339,4273,19614,357,497,0,2075164,0.633376778,0.253280631,0.002564565,0.015045607,0.05694584,0.038786579,0.529702605,0.190222074,0.161194971,0.156520641,0.15391651,0.167483148,0.113004081,0.057658575,0.510234454,0.172,0.138,1.246376812,0.54278196,0.58569905,0.926725014,0.04,62212,0.288896694,0.891424526,13.3563246,25.9,1549.498565,3999.437995,1503.224521,422.7774286,1177.098217
Alabama,2024,43856,20713,22048,56,156,1599,883,15468,12068,8064,4407,2478,1029,342,3464,737,9933,4380,20716,346,553,4,2098998.2,0.628008149,0.250834335,0.003163814,0.01518875,0.059516075,0.043288877,0.537031104,0.197255952,0.166693806,0.157388443,0.156566298,0.161072034,0.109787686,0.051235781,0.46668058,0.173,0.129,1.341085271,0.543484231,0.5920681,0.917942093,0.042,53913,0.298535816,0.895500388,13.42296164,25.6,1571.323696,4187.647818,843.2668295,489.3172185,1279.976851
Alaska,2021,3443,1204,40,2094,29,23,76,1212,1078,614,347,135,49,8,169,338,1086,341,1957,31,14,2,263199.8,0.578900819,0.028778186,0.134611211,0.063617739,0.071370175,0.122721869,0.621723903,0.218806639,0.203815498,0.159917947,0.154560343,0.158451674,0.077781314,0.026666585,0.342840499,0.107,0.103,1.038834951,0.619996837,0.659223338,0.940495885,0.07,77845,0.327906311,0.933117735,13.69826608,23.5,790.1995318,528.0937422,5910.304972,173.1945465,122.4406198
Alaska,2022,3239,1124,60,1973,40,28,42,1131,1044,541,324,155,36,8,152,287,1037,355,1870,33,19,1,262847.2,0.574037294,0.028168592,0.127175793,0.061213251,0.077006964,0.132398106,0.62630764,0.22211977,0.205674134,0.15921498,0.153619645,0.152790177,0.078309658,0.028271635,0.361023604,0.118,0.103,1.145631068,0.619273692,0.670377161,0.923769078,0.046,88121,0.305888173,0.933221999,13.61465032,25.2,744.942664,810.3688821,5902.272765,248.6057625,138.332643
Alaska,2023,3573,1293,57,2117,56,28,50,1306,1094,590,348,187,43,5,191,257,1195,326,2032,42,26,0,266175,0.576598773,0.027646351,0.1301871,0.058506475,0.074801679,0.132259622,0.623309947,0.218492172,0.203883616,0.167707929,0.14305265,0.148721083,0.089367367,0.028775184,0.321987597,0.108,0.102,1.058823529,0.625804659,0.668194834,0.936560157,0.048,86631,0.32235185,0.932250371,13.64164635,22.7,842.4760204,774.5862357,6109.218277,359.5976389,140.6304681
Alaska,2024,4126,1291,81,2632,45,29,77,1461,1221,792,369,214,46,23,197,245,1369,383,2402,46,26,0,266430.4,0.570046194,0.024053785,0.134605537,0.059200171,0.077322589,0.134771723,0.628703241,0.215846929,0.209412446,0.164405261,0.132345662,0.151542288,0.094144553,0.032302862,0.343119816,0.106,0.096,1.104166667,0.620506026,0.666443149,0.931071205,0.06,95665,0.327545971,0.934062226,13.7730738,23.5,850.0264018,1263.914852,7339.038791,285.3026304,140.7692621
Arizona,2021,19868,14131,1667,3468,151,4156,451,7373,5580,3337,2160,910,351,157,1013,1213,4876,1933,9781,129,163,770,2854606.6,0.520081178,0.042905916,0.033144932,0.03273401,0.323120106,0.048013858,0.618792615,0.209143276,0.170917321,0.152691197,0.150968925,0.153120749,0.112899496,0.050259037,0.445166175,0.137,0.118,1.161016949,0.554416267,0.605643378,0.915417038,0.058,69056,0.324294113,0.889692723,13.47792491,16.7,951.821464,1361.043971,3665.352023,161.5963217,450.5731318
Arizona,2022,26152,18330,2871,4069,286,5879,596,9700,7493,4476,2550,1294,474,165,1351,1565,6153,2447,12462,154,298,807,2904609.8,0.51834283,0.043817145,0.032841627,0.034925006,0.324562585,0.045510808,0.619690335,0.2122296,0.169802172,0.151848471,0.14753241,0.151066143,0.114821379,0.052699825,0.458972235,0.134,0.115,1.165217391,0.555264798,0.607155336,0.914534989,0.043,74568,0.329689832,0.891514579,13.48063501,18.3,1217.468045,2255.803766,4265.551868,281.9302948,623.615941
Arizona,2023,28391,20589,3232,3609,287,7081,674,10564,8030,4809,2745,1449,562,232,1493,1179,6612,2639,13369,151,349,620,2949989.6,0.522727787,0.045070178,0.031408989,0.034887498,0.315798596,0.050106952,0.620281218,0.206063775,0.170243796,0.152443204,0.145473139,0.152426791,0.117914455,0.05543484,0.470127603,0.134,0.115,1.165217391,0.561719311,0.607494261,0.924649577,0.043,77315,0.335151626,0.893759609,13.51393135,20.5,1335.178043,2430.869216,3895.044643,278.8634444,760.0880674
Arizona,2024,36320,26171,4186,4185,388,10013,1390,13404,10313,6352,3458,1836,732,225,1845,1313,8050,3162,16352,186,498,957,3021654.2,0.511989105,0.044349772,0.031408989,0.038174933,0.321226279,0.053218618,0.627460823,0.207344008,0.170603074,0.153489015,0.141121861,0.153059632,0.117844083,0.056538326,0.47977229,0.124,0.11,1.127272727,0.564259187,0.613958526,0.919050983,0.046,81486,0.347343035,0.897350407,13.60646239,18.5,1691.666839,3123.655068,4409.575094,336.3633585,1031.593002
Arkansas,2021,29611,16568,12463,62,128,1281,390,12011,8542,4926,2447,1164,356,165,3365,1231,7003,2358,12142,403,146,0,1190439.4,0.682223186,0.147319252,0.00366074,0.038174933,0.081840688,0.070881601,0.500934969,0.201500869,0.171332257,0.155953297,0.162523661,0.154307044,0.106413614,0.047969258,0.450781209,0.178,0.148,1.202702703,0.543383706,0.585688774,0.927768689,0.055,52528,0.252744799,0.88669438,13.0814658,22.6,2040.028893,7106.50061,1422.707145,281.6594934,1314.838965
Arkansas,2022,28329,16124,11652,54,91,1356,408,11081,8009,4977,2539,1205,365,153,2856,1193,6310,2259,11352,340,300,0,1201257.8,0.674710085,0.143036416,0.004163333,0.014074532,0.083862916,0.078600963,0.51083427,0.203744684,0.164980225,0.159817875,0.156921236,0.159103081,0.104942676,0.050490223,0.481121934,0.185,0.15,1.233333333,0.5299629,0.577713322,0.917345819,0.045,55432,0.254082865,0.89141019,13.13179424,23.3,1989.387419,6781.373044,1079.733038,538.2340996,1346.026189
Arkansas,2023,27226,15374,11418,52,84,1548,298,10351,7744,4821,2481,1276,406,147,2694,1007,6116,2009,10696,271,295,1,1214424,0.671131637,0.143108329,0.003787815,0.016415058,0.091239717,0.074317444,0.514970762,0.203033067,0.167283514,0.161864125,0.150648202,0.160366106,0.105229567,0.05157542,0.490122892,0.172,0.14,1.228571429,0.54250288,0.587512175,0.923390021,0.042,58700,0.261767811,0.892506883,13.17796044,22.1,1886.291569,6569.839903,1130.431479,421.3728243,1397.065234
