state,year,2022,2023,2024,total_pop,fem_pop,white_pop,black_pop,nat_amer_pop,asian_pop,hispanic_pop,other_race_pop,diversity_index,%_fem_age_18-29,%_fem_age_30-39,%_fem_age_40-49,fem_age_50-59,fem_age_60-69,fem_age_70-79,fem_age_80+,age_coef_variation,fem_poverty_rate,male_poverty_rate,poverty_gender_disparity_score,fem_labor_force_part,all_labor_force_part,labor_force_ratio,unemployment_rate,mhhi,%_at_least_bach_degree,%_at_least_high_school,avg_years_schooling,gun_deaths_per_100k
Alabama,2021,0,0,0,5039877,2593981,0.641533,0.257599,0.003179046,0.013484,0.04711107,0.037093961,0.51829086,0.189434215,0.159842699,0.156970527,0.161622229,0.166411308,0.1084581,0.057260923,0.527954329,0.179,0.142,1.26056338,0.530470521,0.577143878,0.919130464,0.053,53913,0.274328873,0.879327181,13.24817426,23.6
Alabama,2022,1,0,0,5074296,2613048,0.640519,0.255503,0.002501628,0.015112,0.048573635,0.037790661,0.52043151,0.190983237,0.161319358,0.154198404,0.158653903,0.165791319,0.112951876,0.056101903,0.496688543,0.178,0.145,1.227586207,0.537873136,0.585824454,0.918147292,0.043,59674,0.288003709,0.887969636,13.34770948,26.4
Alabama,2023,0,1,0,5108468,2636667,0.633377,0.253281,0.002564565,0.015046,0.05694584,0.038786579,0.5297026,0.190222074,0.161194971,0.156520641,0.15391651,0.167483148,0.113004081,0.057658575,0.510234454,0.172,0.138,1.246376812,0.54278196,0.58569905,0.926725014,0.04,62212,0.288896694,0.891424526,13.3563246,25.9
Alabama,2024,0,0,1,5157699,2667148,0.628008,0.250834,0.003163814,0.015189,0.059516075,0.043288877,0.5370311,0.197255952,0.166693806,0.157388443,0.156566298,0.161072034,0.109787686,0.051235781,0.46668058,0.173,0.129,1.341085271,0.543484231,0.5920681,0.917942093,0.042,53913,0.298535816,0.895500388,13.42296164,25.6
Alaska,2021,0,0,0,732673,349552,0.578901,0.028778,0.134611211,0.063618,0.071370175,0.122721869,0.6217239,0.218806639,0.203815498,0.159917947,0.154560343,0.158451674,0.077781314,0.026666585,0.342840499,0.107,0.103,1.038834951,0.619996837,0.659223338,0.940495885,0.07,77845,0.327906311,0.933117735,13.69826608,23.5
Alaska,2022,1,0,0,733583,347916,0.574037,0.028169,0.127175793,0.061213,0.077006964,0.132398106,0.62630764,0.22211977,0.205674134,0.15921498,0.153619645,0.152790177,0.078309658,0.028271635,0.361023604,0.118,0.103,1.145631068,0.619273692,0.670377161,0.923769078,0.046,88121,0.305888173,0.933221999,13.61465032,25.2
Alaska,2023,0,1,0,733406,347551,0.576599,0.027646,0.1301871,0.058506,0.074801679,0.132259622,0.62330995,0.218492172,0.203883616,0.167707929,0.14305265,0.148721083,0.089367367,0.028775184,0.321987597,0.108,0.102,1.058823529,0.625804659,0.668194834,0.936560157,0.048,86631,0.32235185,0.932250371,13.64164635,22.7
Alaska,2024,0,0,1,740133,349832,0.570046,0.024054,0.134605537,0.0592,0.077322589,0.134771723,0.62870324,0.215846929,0.209412446,0.164405261,0.132345662,0.151542288,0.094144553,0.032302862,0.343119816,0.106,0.096,1.104166667,0.620506026,0.666443149,0.931071205,0.06,95665,0.327545971,0.934062226,13.7730738,23.5
Arizona,2021,0,0,0,7276316,3646696,0.520081,0.042906,0.033144932,0.032734,0.323120106,0.048013858,0.61879261,0.209143276,0.170917321,0.152691197,0.150968925,0.153120749,0.112899496,0.050259037,0.445166175,0.137,0.118,1.161016949,0.554416267,0.605643378,0.915417038,0.058,69056,0.324294113,0.889692723,13.47792491,16.7
Arizona,2022,1,0,0,7359197,3680816,0.518343,0.043817,0.032841627,0.034925,0.324562585,0.045510808,0.61969033,0.2122296,0.169802172,0.151848471,0.14753241,0.151066143,0.114821379,0.052699825,0.458972235,0.134,0.115,1.165217391,0.555264798,0.607155336,0.914534989,0.043,74568,0.329689832,0.891514579,13.48063501,18.3
