resource_id,name,category,subcategory,services,address,city,state,postal_code,country,phone,website,latitude,longitude,notes,source
NJ-HAZ-180TURN,180 Turning Lives Around Inc.,housing_shelter,Shelter | Domestic Violence,24-hour hotline; counseling; legal advocacy; emergency safe house; children's therapy,1 Bethany Rd,Hazlet,NJ,07730,USA,888-843-9262,https://180nj.org,,,,"Confidential shelter,verified_web"
MN-EAGAN-360COMMUNITIES,360 Communities Lewis House,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; housing support,P.O. Box 141,Eagan,MN,55121,USA,651-452-7288,https://360communities.org,,,Confidential shelter,verified_web
NAT-988-1,988 Suicide & Crisis Lifeline,mental_health,hotline,24/7 crisis support; phone; chat,,,,,US,988,https://988lifeline.org/,,,"National hotline (US). For emergencies, call 911.",https://988lifeline.org/
WA-VAN-ABW,A Better Way Counseling Service,other,Intervention Program | Batterer Intervention,Batterer intervention treatment; counseling,211 E McLoughlin Blvd,Vancouver,WA,98663,USA,360-281-6824,,45.6256,-122.6700,,verified_web
AZ-MESA-AUTUMN,A New Leaf - Autumn House,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; support services,868 E University Dr,Mesa,AZ,85203,US,480-890-3039,https://turnanewleaf.org/,,,Confidential shelter; admin office listed,verified_web
AZ-MESA-FAITHHOUSE,A New Leaf - Faith House,housing_shelter,Shelter | Domestic Violence,Emergency shelter; safety; advocacy,868 E University Dr,Mesa,AZ,85203,US,480-890-3039,https://turnanewleaf.org/,,,Shelter location confidential; admin office listed,verified_web
AZ-GLENDALE-COURT,A New Leaf Court Advocacy (Glendale),legal_aid,Legal | Court Advocacy,Protective orders; court accompaniment,5850 W Glendale Ave,Glendale,AZ,85301,US,623-930-2004,https://turnanewleaf.org/,,,Bilingual advocates,verified_web
CA-OAK-ASAFE,A Safe Place,housing_shelter,Shelter | Domestic Violence,Shelter; hotline; counseling; legal advocacy,P.O. Box 23006,Oakland,CA,94623,US,510-536-7233,https://asafeplace.org/,,,Confidential shelter,verified_web
OR-BEA-ARMS,Abuse Recovery Ministry & Services,other,Intervention Program | Batterer Intervention,Support groups; batterer intervention; faith-based counseling,10200 SW Eastridge St Ste 100,Beaverton,OR,97008,USA,503-846-9284,https://abuserecovery.org,45.4565,-122.7820,,verified_web
WA-SEA-ADWAS,Abused Deaf Women's Advocacy Services (ADWAS),housing_shelter,Shelter | Domestic Violence,Shelter; counseling; advocacy; legal support; transitional housing,PO Box 18824,Seattle,WA,98118,USA,855-812-1001,https://adwas.org,47.6062,-122.3321,Confidential shelter; Serves Deaf community,verified_web
AK-ANC-AWAIC,Abused Women's Aid in Crisis (AWAIC),housing_shelter,Shelter | Domestic Violence,Emergency shelter; 24/7 crisis line,100 W 13th Ave,Anchorage,AK,99501,US,907-272-0100,https://awaic.org/,,,Shelter capacity 67 beds,verified_web
VA-MAN-ACTS,ACTS Sexual Assault Services,sexual_assault,Crisis Center | Sexual Assault,Hotline; crisis intervention; court accompaniment; support groups,3900 Jermantown Rd Ste 300,Fairfax,VA,22030,USA,703-497-1192,https://www.actspwc.org,38.8462,-77.3356,,verified_web
CA-PALOALTO-ACS,Adolescent Counseling Services,mental_health,Counseling | Youth & Family,Teen counseling; family therapy,"643 Bair Island Rd, Suite 403",Redwood City,CA,94063,US,650-424-0852,https://acs-teens.org/,,,Teen-focused care,verified_web
WI-PTW-AOO,Advocates of Ozaukee,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; prevention; support services,PO Box 64,Port Washington,WI,53074,USA,877-375-4034,https://www.advocatesofozaukee.org,43.3872,-87.8756,Confidential shelter,verified_web
AZ-MAR-AGAINST-ABUSE,Against Abuse, Inc.,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; community education,P.O. Box 603,Maricopa,AZ,85139,US,520-836-0858,https://against-abuse.org/,,,"Confidential shelter; mailing address listed,verified_web"
CA-OAK-AFJC,Alameda County Family Justice Center,other,Multi-Service | Family Violence Support,DV/SA services; legal; advocacy,470 27th St,Oakland,CA,94612,US,510-267-8800,https://acfjc.org/,,,Multi-agency center,verified_web
AK-ANC-AIJ,Alaska Institute for Justice,legal_aid,Legal | Immigration Legal Aid,Immigration services; VAWA; U/T visas; asylum; interpretation services,"431 W 7th Ave, Suite 208",Anchorage,AK,99501,US,907-279-2457,https://aijustice.org/,,,100+ languages available,verified_web
AK-STATE-ALSC,Alaska Legal Services Corporation,legal_aid,Legal | Legal Aid,Legal help for DV survivors; access to benefits; housing; family safety,"840 K St, Suite 200",Anchorage,AK,99501,US,888-478-2572,https://alsc-law.org/,,,Statewide services,verified_web
AK-STATE-OVR,Alaska Office of Victims' Rights,legal_aid,Legal | Victim Advocacy,Legal advocacy for victims; rights enforcement,"510 L St, Suite 100",Anchorage,AK,99501,US,907-754-3460,https://ovr.akleg.gov/,,,Free legal advocacy,verified_web
MN-BLAINE-ALEXANDRA,Alexandra House,housing_shelter,Shelter | Domestic Violence,Emergency shelter; counseling; advocacy; children's services,P.O. Box 490309,Blaine,MN,55449,USA,763-780-2330,https://alexandrahouse.org,,,Confidential shelter,verified_web
VA-ALE-ASDVAP,Alexandria Sexual and Domestic Violence Advocacy Program,housing_shelter,Shelter | Domestic Violence,Hotline; counseling; legal advocacy; support groups; crisis intervention,123 N Pitt St Ste 225,Alexandria,VA,22314,USA,703-746-4911,https://www.alexandriava.gov,38.8048,-77.0469,Confidential shelter,verified_web
NY-JAM-ALLENWRC,Allen Women's Resource Center,housing_shelter,Shelter | Domestic Violence,Emergency shelter; counseling; legal assistance; housing assistance; child care support,PO Box 340316,Jamaica,NY,11434,USA,718-739-6200,,,,,"Confidential shelter; Shelter access limited to survivors with minor children,verified_web"
UT-AFO-ALLIANCE,Alliance Clinical Services,other,Intervention Program | Batterer Intervention,Batterer intervention; counseling; case management,147 N 400 E,American Fork,UT,84003,USA,801-763-7775,https://allianceclinicalservices.com,40.3805,-111.7920,,verified_web
MA-LITTLETON-ALT,Alternative House,housing_shelter,Shelter | Domestic Violence,Shelter; counseling; legal advocacy; children's services,P.O. Box 2100,Littleton,MA,01460,USA,888-291-6228,https://alternativehouse.org,,,Confidential shelter,verified_web
IN-ANDERSON-ALT,Alternatives Incorporated,housing_shelter,Shelter | Domestic Violence,Emergency shelter; transitional housing; advocacy; support services,P.O. Box 1303,Anderson,IN,46015,USA,765-643-0200,https://alternativesdv.org,,,Confidential shelter,verified_web
IL-CHICAGO-AIHS,American Indian Health Service of Chicago,mental_health,Counseling | Community Health,Healthcare; counseling; support services,4088 N Lincoln Ave,Chicago,IL,60618,USA,773-883-9100,https://aihschicago.org,,,Serves Native American community,verified_web
FL-MIAMI-AIJ,Americans for Immigrant Justice,legal_aid,Legal | Immigration Legal Aid,Immigration legal services; trafficking support; survivor advocacy,6355 NW 36th St Ste 220,Miami,FL,33166,USA,305-573-1106,https://www.aijustice.org,,,Serves immigrants,verified_web
NC-LIN-AMYSHOUSE,Amy's House,housing_shelter,Shelter | Domestic Violence,Shelter; legal assistance; counseling; parenting classes; job readiness; housing referrals,PO Box 1242,Lincolnton,NC,28093,USA,704-736-1224,,35.4735,-81.2545,Confidential shelter,verified_web
IL-LYONS-ANEW,Anew Building Beyond Violence and Abuse,housing_shelter,Shelter | Domestic Violence,Shelter; hotline; counseling; court advocacy; rehousing,P.O. Box 572,Lyons,IL,60534,USA,708-335-3028,https://anewdv.org,,,Confidential shelter,verified_web
CA-SANMATEO-AMDATC,Anger Management & DV Therapy Center,other,Counseling | Batterer Intervention,Batterer intervention; anger management,"1730 S Amphlett Blvd, Suite 120",San Mateo,CA,94402,US,650-375-0449,,,State-certified program,verified_web,
CA-SF-APA,APA Family Support Services,domestic_violence,Counseling | Family Support,Counseling; DV support groups,"1255 Post St, Suite 500",San Francisco,CA,94109,US,415-617-0061,https://apafss.org/,,,Asian/Pacific Islander focus,verified_web
WA-SEA-APICHAYA,API Chaya,domestic_violence,Multi-Service | Culturally Specific Support,Advocacy; counseling; case management; support services,PO Box 14047,Seattle,WA,98114,USA,877-922-4292,https://apichaya.org,47.6062,-122.3321,Serves Asian communities; Multilingual services,verified_web
IL-CHICAGO-APNA,Apna Ghar Inc.,housing_shelter,Shelter | Domestic Violence,Shelter; counseling; advocacy,P.O. Box 250250,Chicago,IL,60625,USA,773-883-4663,https://apnaghar.org,,,Confidential shelter; Multilingual services,verified_web
IL-CHICAGO-ASCEND,Ascend Justice,legal_aid,Legal | Domestic Violence,Legal advocacy; family law; immigration services,205 W Randolph St Ste 925,Chicago,IL,60606,USA,312-971-5932,https://ascendjustice.org,,,,verified_web
WI-MIL-ASHA,Asha Family Services Inc.,domestic_violence,Multi-Service | Culturally Specific Support,Advocacy; counseling; prevention services; support groups,3716 W Lisbon Ave,Milwaukee,WI,53208,USA,414-252-0075,https://ashafamilyservices.org,43.0606,-87.9594,Serves African American community,verified_web
OH-COL-ASHA,ASHA-Ray of Hope,domestic_violence,Multi-Service | Culturally Specific Support,Counseling; advocacy; community education; referrals,PO Box 14035,Columbus,OH,43214,USA,614-565-2918,https://asharayofhope.org,,,,"Serves South Asian community,verified_web"
AL-HSV-ASHA,AshaKiran,domestic_violence,Shelter | DV/SA/Trafficking,Shelter; culturally specific DV/SA/trafficking services; education,P.O. Box 3682,Huntsville,AL,35810,US,256-698-4446,https://ashakiranonline.org/,,,Confidential shelter; mailing address listed,verified_web
DC-DC-ASHIYANA,Ashiyanaa,domestic_violence,Multi-Service | Culturally Specific Support,Hotline; advocacy; translation; peer support,PO Box 1426,Washington,DC,20013,USA,888-417-2742,,38.9072,-77.0369,Serves South Asian community; Multilingual services,verified_web
OH-COL-AACS,Asian American Community Services,other,Multi-Service | Community Support,Social services; education; training; community support,700 Morse Rd Ste 101,Columbus,OH,43214,USA,614-220-4023,https://aacsohio.org,,,,"Serves Asian Pacific Islander communities,verified_web"
UT-SLC-AAU,Asian Association of Utah Refugee Center,domestic_violence,Multi-Service | Immigrant Support,Case management; advocacy; refugee support services,155 S 300 W Ste 101,Salt Lake City,UT,84101,USA,801-467-6060,https://aau-slc.org,40.7630,-111.9005,Multilingual services,verified_web
DC-DC-API,Asian Pacific Islander DV Resource Project,domestic_violence,Multi-Service | Culturally Specific Support,Legal advocacy; safety planning; hotline; peer support,PO Box 14268,Washington,DC,20044,USA,202-833-2233,https://dvrp.org,38.9072,-77.0369,Serves Asian Pacific Islander communities; Multilingual services,verified_web
CA-SF-APILO,Asian Pacific Islander Legal Outreach,legal_aid,Legal | DV & Immigration,Family law; immigration; anti-trafficking,1121 Mission St,San Francisco,CA,94103,US,415-567-6255,https://apilegaloutreach.org/,,,Multilingual services,verified_web
MA-BOSTON-ATASK,Asian Task Force Against Domestic Violence,housing_shelter,Shelter | Domestic Violence,Shelter; advocacy; counseling; support services,P.O. Box 120108,Boston,MA,02112,USA,617-338-2355,https://atask.org,,,Confidential shelter; Serves Asian communities,verified_web
MN-MINNEAPOLIS-AWUM,Asian Women United of Minnesota,housing_shelter,Shelter | Domestic Violence,Shelter; counseling; advocacy; support groups,P.O. Box 14506,Minneapolis,MN,55414,USA,612-724-8823,https://awum.org,,,Confidential shelter; Multilingual services,verified_web
CA-SF-AWS,Asian Women's Shelter,housing_shelter,Shelter | DV & Human Trafficking,Shelter; advocacy; education,"3543 18th St, #19",San Francisco,CA,94110,US,415-751-0880,https://sfaws.org/,,,Serves all communities,verified_web
TX-HOU-AADA,Asians Against Domestic Abuse,domestic_violence,Multi-Service | Culturally Specific Support,Advocacy; community education; support services,PO Box 941734,Houston,TX,77094,USA,713-974-3743,https://www.aadainc.org,29.7604,-95.3698,Serves Asian and Middle Eastern communities; Multilingual services,verified_web
UT-MUR-ACES,Assessment Counseling & Education (ACES),mental_health,Counseling | Mental Health,Counseling; behavioral health services,5663 S Redwood Rd,Murray,UT,84123,USA,801-265-8000,,40.6490,-111.9390,,verified_web
CA-HAYWARD-ACS,Associated Counseling Services,other,Counseling | Batterer Intervention,Certified batterer intervention program,"27936 E 12th St, Suite 210",Hayward,CA,94544,US,510-357-0550,,,State-certified program,verified_web,
KS-OP-HOPEHARBOR,Associates at Hope Harbor,other,Intervention Program | Batterer Intervention,Batterer intervention program,8725 W 110th St Ste 500,Overland Park,KS,66210,USA,913-710-5744,,38.9250,-94.6870,,verified_web
GA-ATL-AVLF,Atlanta Volunteer Lawyers Foundation,legal_aid,Legal | Domestic Violence,Protective orders; legal representation,235 Peachtree St NE Ste 1750,Atlanta,GA,30303,USA,404-521-0790,https://avlf.org,,,,verified_web
WI-MIL-AURORA,Aurora Healing & Advocacy Services,sexual_assault,Crisis Center | Sexual Assault,Forensic nursing; counseling; advocacy; case management; hotline,945 N 12th St,Milwaukee,WI,53233,USA,414-219-5938,https://www.aurorahealthcare.org,43.0415,-87.9257,,verified_web
TX-HOU-AVDA,AVDA Aid to Victims of Domestic Abuse,domestic_violence,Multi-Service | Domestic Violence Support,Legal representation; counseling; advocacy; batterer intervention,1001 Texas Ave Ste 600,Houston,TX,77002,USA,713-224-9911,https://avda-tx.org,29.7599,-95.3636,Multilingual services,verified_web
GA-ROSWELL-AWAKEN,Awaken Voices Domestic Violence Services Inc.,domestic_violence,Multi-Service | Domestic Violence,Crisis support; counseling; legal advocacy; referrals; support groups,P.O. Box 768126,Roswell,GA,30076,USA,770-410-8667,https://awakenvoicesdv.org,,,,verified_web
DC-DC-AYUDA,Ayuda,legal_aid,Legal | Immigration Legal Aid,Legal services; case management; advocacy,6925B Willow St NW,Washington,DC,20012,USA,202-387-4848,https://ayuda.com,,,Serves immigrants,verified_web
GA-ATL-BAITUL,Baitul Salaam Network Inc.,domestic_violence,Counseling | Domestic Violence,Counseling; referrals; advocacy,P.O. Box 1964,Buford,GA,30515,USA,770-255-8500,https://baitulsalaam.org,,,Serves Muslim women,verified_web
CA-OAK-BAYLEGAL,Bay Area Legal Aid,legal_aid,Legal | Civil Legal Aid,Free legal services for DV survivors,1735 Telegraph Ave,Oakland,CA,94612,US,800-551-5554,https://baylegal.org/,,,Regional provider,verified_web
