geo_id,geo_name,year,component,value,note
state:AL,Alabama,2021,dv_rate,0.8546192429,z-score within 2021; raw=913.168 (per 100k female population)
state:AL,Alabama,2021,sexual_assault_rate,-0.8159127984,z-score within 2021; raw=46.1687 (per 100k female population)
state:AL,Alabama,2021,firearm_share,1.732366892,z-score within 2021; raw=0.121333 (proportion)
state:AL,Alabama,2021,fem_poverty_rate,1.430665976,z-score within 2021; raw=0.179 (proportion)
state:AL,Alabama,2021,unemployment_rate,-0.2361017418,z-score within 2021; raw=0.053 (proportion)
state:AL,Alabama,2021,gun_deaths_per_100k,1.387090472,z-score within 2021; raw=23.6 (per 100k population)
state:AL,Alabama,2022,dv_rate,0.9414424283,z-score within 2022; raw=924.751 (per 100k female population)
state:AL,Alabama,2022,sexual_assault_rate,-1.041459663,z-score within 2022; raw=41.156 (per 100k female population)
state:AL,Alabama,2022,firearm_share,0.879052167,z-score within 2022; raw=0.0892702 (proportion)
state:AL,Alabama,2022,fem_poverty_rate,1.502549768,z-score within 2022; raw=0.178 (proportion)
state:AL,Alabama,2022,unemployment_rate,0.3989767291,z-score within 2022; raw=0.043 (proportion)
state:AL,Alabama,2022,gun_deaths_per_100k,1.485376133,z-score within 2022; raw=26.4 (per 100k population)
state:AL,Alabama,2023,dv_rate,1.032172266,z-score within 2023; raw=945.178 (per 100k female population)
state:AL,Alabama,2023,sexual_assault_rate,-0.8403383203,z-score within 2023; raw=37.1537 (per 100k female population)
state:AL,Alabama,2023,firearm_share,0.8009924982,z-score within 2023; raw=0.0830781 (proportion)
state:AL,Alabama,2023,fem_poverty_rate,1.380358744,z-score within 2023; raw=0.172 (proportion)
state:AL,Alabama,2023,unemployment_rate,0.06700007384,z-score within 2023; raw=0.04 (proportion)
state:AL,Alabama,2023,gun_deaths_per_100k,1.604691263,z-score within 2023; raw=25.9 (per 100k population)
state:AL,Alabama,2024,dv_rate,1.278852387,z-score within 2024; raw=986.947 (per 100k female population)
state:AL,Alabama,2024,sexual_assault_rate,-0.9671852754,z-score within 2024; raw=35.112 (per 100k female population)
state:AL,Alabama,2024,firearm_share,0.8017399111,z-score within 2024; raw=0.0789858 (proportion)
state:AL,Alabama,2024,fem_poverty_rate,1.540553426,z-score within 2024; raw=0.173 (proportion)
state:AL,Alabama,2024,unemployment_rate,-0.05650662841,z-score within 2024; raw=0.042 (proportion)
state:AL,Alabama,2024,gun_deaths_per_100k,1.707761541,z-score within 2024; raw=25.6 (per 100k population)
state:AK,Alaska,2021,dv_rate,0.3366558421,z-score within 2021; raw=743.542 (per 100k female population)
state:AK,Alaska,2021,sexual_assault_rate,1.282214841,z-score within 2021; raw=128.42 (per 100k female population)
state:AK,Alaska,2021,firearm_share,-0.2947487553,z-score within 2021; raw=0.0490851 (proportion)
state:AK,Alaska,2021,fem_poverty_rate,-1.059099646,z-score within 2021; raw=0.107 (proportion)
state:AK,Alaska,2021,unemployment_rate,0.8082870856,z-score within 2021; raw=0.07 (proportion)
state:AK,Alaska,2021,gun_deaths_per_100k,1.370710094,z-score within 2021; raw=23.5 (per 100k population)
state:AK,Alaska,2022,dv_rate,0.1930381316,z-score within 2022; raw=711.44 (per 100k female population)
state:AK,Alaska,2022,sexual_assault_rate,0.7130779942,z-score within 2022; raw=109.189 (per 100k female population)
state:AK,Alaska,2022,firearm_share,-0.4341864599,z-score within 2022; raw=0.0469281 (proportion)
state:AK,Alaska,2022,fem_poverty_rate,-0.6123546893,z-score within 2022; raw=0.118 (proportion)
state:AK,Alaska,2022,unemployment_rate,0.762330536,z-score within 2022; raw=0.046 (proportion)
state:AK,Alaska,2022,gun_deaths_per_100k,1.307841137,z-score within 2022; raw=25.2 (per 100k population)
state:AK,Alaska,2023,dv_rate,0.3495524619,z-score within 2023; raw=763.408 (per 100k female population)
state:AK,Alaska,2023,sexual_assault_rate,1.92072898,z-score within 2023; raw=96.553 (per 100k female population)
state:AK,Alaska,2023,firearm_share,-0.1201768073,z-score within 2023; raw=0.0534565 (proportion)
state:AK,Alaska,2023,fem_poverty_rate,-0.9230619824,z-score within 2023; raw=0.108 (proportion)
state:AK,Alaska,2023,unemployment_rate,1.118385848,z-score within 2023; raw=0.048 (proportion)
state:AK,Alaska,2023,gun_deaths_per_100k,1.092828021,z-score within 2023; raw=22.7 (per 100k population)
state:AK,Alaska,2024,dv_rate,0.9356778448,z-score within 2024; raw=901.549 (per 100k female population)
state:AK,Alaska,2024,sexual_assault_rate,1.650594326,z-score within 2024; raw=91.9565 (per 100k female population)
state:AK,Alaska,2024,firearm_share,-0.2401650582,z-score within 2024; raw=0.047746 (proportion)
state:AK,Alaska,2024,fem_poverty_rate,-0.9101314232,z-score within 2024; raw=0.106 (proportion)
state:AK,Alaska,2024,unemployment_rate,1.864718737,z-score within 2024; raw=0.06 (proportion)
state:AK,Alaska,2024,gun_deaths_per_100k,1.362526728,z-score within 2024; raw=23.5 (per 100k population)
state:AZ,Arizona,2021,dv_rate,-0.8875202574,z-score within 2021; raw=342.639 (per 100k female population)
state:AZ,Arizona,2021,sexual_assault_rate,-0.9096820898,z-score within 2021; raw=42.4927 (per 100k female population)
state:AZ,Arizona,2021,firearm_share,-0.2413996372,z-score within 2021; raw=0.0509865 (proportion)
state:AZ,Arizona,2021,fem_poverty_rate,-0.0216973039,z-score within 2021; raw=0.137 (proportion)
state:AZ,Arizona,2021,unemployment_rate,0.0710714427,z-score within 2021; raw=0.058 (proportion)
state:AZ,Arizona,2021,gun_deaths_per_100k,0.2568443387,z-score within 2021; raw=16.7 (per 100k population)
state:AZ,Arizona,2022,dv_rate,-0.7977589123,z-score within 2022; raw=429.042 (per 100k female population)
state:AZ,Arizona,2022,sexual_assault_rate,-0.7133165646,z-score within 2022; raw=53.8799 (per 100k female population)
state:AZ,Arizona,2022,firearm_share,-0.2874402395,z-score within 2022; raw=0.0516595 (proportion)
state:AZ,Arizona,2022,fem_poverty_rate,-0.04838016732,z-score within 2022; raw=0.134 (proportion)
state:AZ,Arizona,2022,unemployment_rate,0.3989767291,z-score within 2022; raw=0.043 (proportion)
state:AZ,Arizona,2022,gun_deaths_per_100k,0.2870149102,z-score within 2022; raw=18.3 (per 100k population)
state:AZ,Arizona,2023,dv_rate,-0.8154421258,z-score within 2023; raw=453.188 (per 100k female population)
state:AZ,Arizona,2023,sexual_assault_rate,-0.709602048,z-score within 2023; raw=39.9662 (per 100k female population)
state:AZ,Arizona,2023,firearm_share,-0.1472130524,z-score within 2023; raw=0.0525871 (proportion)
state:AZ,Arizona,2023,fem_poverty_rate,0.01270268783,z-score within 2023; raw=0.134 (proportion)
state:AZ,Arizona,2023,unemployment_rate,0.4612697391,z-score within 2023; raw=0.043 (proportion)
state:AZ,Arizona,2023,gun_deaths_per_100k,0.7409220426,z-score within 2023; raw=20.5 (per 100k population)
state:AZ,Arizona,2024,dv_rate,-0.5125495467,z-score within 2024; raw=541.161 (per 100k female population)
state:AZ,Arizona,2024,sexual_assault_rate,-0.5830674052,z-score within 2024; raw=43.453 (per 100k female population)
state:AZ,Arizona,2024,firearm_share,-0.1383598836,z-score within 2024; raw=0.0507985 (proportion)
state:AZ,Arizona,2024,fem_poverty_rate,-0.2517384788,z-score within 2024; raw=0.124 (proportion)
state:AZ,Arizona,2024,unemployment_rate,0.3704323418,z-score within 2024; raw=0.046 (proportion)
state:AZ,Arizona,2024,gun_deaths_per_100k,0.5405390785,z-score within 2024; raw=18.5 (per 100k population)
state:AR,Arkansas,2021,dv_rate,1.1807121,z-score within 2021; raw=1019.96 (per 100k female population)
state:AR,Arkansas,2021,sexual_assault_rate,0.644177762,z-score within 2021; raw=103.407 (per 100k female population)
state:AR,Arkansas,2021,firearm_share,1.516515685,z-score within 2021; raw=0.11364 (proportion)
state:AR,Arkansas,2021,fem_poverty_rate,1.396085898,z-score within 2021; raw=0.178 (proportion)
state:AR,Arkansas,2021,unemployment_rate,-0.113232468,z-score within 2021; raw=0.055 (proportion)
state:AR,Arkansas,2021,gun_deaths_per_100k,1.223286685,z-score within 2021; raw=22.6 (per 100k population)
state:AR,Arkansas,2022,dv_rate,1.012520348,z-score within 2022; raw=945.009 (per 100k female population)
state:AR,Arkansas,2022,sexual_assault_rate,0.458371706,z-score within 2022; raw=99.3126 (per 100k female population)
state:AR,Arkansas,2022,firearm_share,1.237128055,z-score within 2022; raw=0.100815 (proportion)
state:AR,Arkansas,2022,fem_poverty_rate,1.749288621,z-score within 2022; raw=0.185 (proportion)
state:AR,Arkansas,2022,unemployment_rate,0.6412126004,z-score within 2022; raw=0.045 (proportion)
state:AR,Arkansas,2022,gun_deaths_per_100k,1.02674406,z-score within 2022; raw=23.3 (per 100k population)
state:AR,Arkansas,2023,dv_rate,0.7902067863,z-score within 2023; raw=880.747 (per 100k female population)
state:AR,Arkansas,2023,sexual_assault_rate,1.287021974,z-score within 2023; raw=82.92 (per 100k female population)
state:AR,Arkansas,2023,firearm_share,1.294561081,z-score within 2023; raw=0.0989495 (proportion)
state:AR,Arkansas,2023,fem_poverty_rate,1.380358744,z-score within 2023; raw=0.172 (proportion)
state:AR,Arkansas,2023,unemployment_rate,0.3298465174,z-score within 2023; raw=0.042 (proportion)
state:AR,Arkansas,2023,gun_deaths_per_100k,0.9968536635,z-score within 2023; raw=22.1 (per 100k population)
state:AR,Arkansas,2024,dv_rate,0.8111831217,z-score within 2024; raw=870.569 (per 100k female population)
state:AR,Arkansas,2024,sexual_assault_rate,1.307606426,z-score within 2024; raw=84.5086 (per 100k female population)
state:AR,Arkansas,2024,firearm_share,1.165645285,z-score within 2024; raw=0.0898969 (proportion)
state:AR,Arkansas,2024,fem_poverty_rate,1.394243882,z-score within 2024; raw=0.169 (proportion)
state:AR,Arkansas,2024,unemployment_rate,-0.4834455986,z-score within 2024; raw=0.038 (proportion)
state:AR,Arkansas,2024,gun_deaths_per_100k,1.09949068,z-score within 2024; raw=21.9 (per 100k population)
state:CA,California,2021,dv_rate,-1.927655494,z-score within 2021; raw=2.00781 (per 100k female population)
state:CA,California,2021,sexual_assault_rate,-1.782270578,z-score within 2021; raw=8.28547 (per 100k female population)
state:CA,California,2021,firearm_share,-0.7384979953,z-score within 2021; raw=0.0332695 (proportion)
state:CA,California,2021,fem_poverty_rate,-0.1600176162,z-score within 2021; raw=0.133 (proportion)
state:CA,California,2021,unemployment_rate,1.606937365,z-score within 2021; raw=0.083 (proportion)
state:CA,California,2021,gun_deaths_per_100k,-1.086346718,z-score within 2021; raw=8.5 (per 100k population)
state:CA,California,2022,dv_rate,-1.527566855,z-score within 2022; raw=221.032 (per 100k female population)
state:CA,California,2022,sexual_assault_rate,-1.130733331,z-score within 2022; raw=37.6944 (per 100k female population)
state:CA,California,2022,firearm_share,-0.5327738305,z-score within 2022; raw=0.0437494 (proportion)
state:CA,California,2022,fem_poverty_rate,-0.1188769826,z-score within 2022; raw=0.132 (proportion)
state:CA,California,2022,unemployment_rate,1.610156085,z-score within 2022; raw=0.053 (proportion)
state:CA,California,2022,gun_deaths_per_100k,-1.088881309,z-score within 2022; raw=9 (per 100k population)
state:CA,California,2023,dv_rate,-1.148009684,z-score within 2023; raw=364.631 (per 100k female population)
state:CA,California,2023,sexual_assault_rate,-0.8360706613,z-score within 2023; raw=37.2455 (per 100k female population)
state:CA,California,2023,firearm_share,-0.5513700586,z-score within 2023; raw=0.0395908 (proportion)
state:CA,California,2023,fem_poverty_rate,-0.1312611076,z-score within 2023; raw=0.13 (proportion)
state:CA,California,2023,unemployment_rate,2.0383484,z-score within 2023; raw=0.055 (proportion)
state:CA,California,2023,gun_deaths_per_100k,-1.146573662,z-score within 2023; raw=8.7 (per 100k population)
state:CA,California,2024,dv_rate,-0.879535475,z-score within 2024; raw=449.837 (per 100k female population)
state:CA,California,2024,sexual_assault_rate,-0.293984482,z-score within 2024; raw=49.7304 (per 100k female population)
state:CA,California,2024,firearm_share,-0.6556225161,z-score within 2024; raw=0.0352892 (proportion)
state:CA,California,2024,fem_poverty_rate,-0.1054289356,z-score within 2024; raw=0.128 (proportion)
state:CA,California,2024,unemployment_rate,1.757983995,z-score within 2024; raw=0.059 (proportion)
state:CA,California,2024,gun_deaths_per_100k,-1.185634986,z-score within 2024; raw=8 (per 100k population)
state:CO,Colorado,2021,dv_rate,0.1845670892,z-score within 2021; raw=693.734 (per 100k female population)
state:CO,Colorado,2021,sexual_assault_rate,1.39943221,z-score within 2021; raw=133.015 (per 100k female population)
state:CO,Colorado,2021,firearm_share,0.9360482512,z-score within 2021; raw=0.0929518 (proportion)
state:CO,Colorado,2021,fem_poverty_rate,-1.093679725,z-score within 2021; raw=0.106 (proportion)
state:CO,Colorado,2021,unemployment_rate,-0.2361017418,z-score within 2021; raw=0.053 (proportion)
state:CO,Colorado,2021,gun_deaths_per_100k,0.04389941504,z-score within 2021; raw=15.4 (per 100k population)
state:CO,Colorado,2022,dv_rate,0.03643415137,z-score within 2022; raw=666.805 (per 100k female population)
state:CO,Colorado,2022,sexual_assault_rate,1.129187949,z-score within 2022; raw=125.324 (per 100k female population)
state:CO,Colorado,2022,firearm_share,1.743445173,z-score within 2022; raw=0.11714 (proportion)
state:CO,Colorado,2022,fem_poverty_rate,-1.176329211,z-score within 2022; raw=0.102 (proportion)
state:CO,Colorado,2022,unemployment_rate,-0.5699667559,z-score within 2022; raw=0.035 (proportion)
state:CO,Colorado,2022,gun_deaths_per_100k,0.2130419952,z-score within 2022; raw=17.8 (per 100k population)
state:CO,Colorado,2023,dv_rate,-0.05377486845,z-score within 2023; raw=656.008 (per 100k female population)
state:CO,Colorado,2023,sexual_assault_rate,1.504722744,z-score within 2023; raw=87.6034 (per 100k female population)
state:CO,Colorado,2023,firearm_share,1.392138911,z-score within 2023; raw=0.102087 (proportion)
state:CO,Colorado,2023,fem_poverty_rate,-1.174998624,z-score within 2023; raw=0.101 (proportion)
state:CO,Colorado,2023,unemployment_rate,-0.1958463697,z-score within 2023; raw=0.038 (proportion)
state:CO,Colorado,2023,gun_deaths_per_100k,0.2290588007,z-score within 2023; raw=17.3 (per 100k population)
state:CO,Colorado,2024,dv_rate,-0.1040746409,z-score within 2024; raw=642.809 (per 100k female population)
state:CO,Colorado,2024,sexual_assault_rate,1.589742151,z-score within 2024; raw=90.6351 (per 100k female population)
state:CO,Colorado,2024,firearm_share,1.567583583,z-score within 2024; raw=0.101948 (proportion)
state:CO,Colorado,2024,fem_poverty_rate,-0.946708809,z-score within 2024; raw=0.105 (proportion)
state:CO,Colorado,2024,unemployment_rate,0.05022811414,z-score within 2024; raw=0.043 (proportion)
state:CO,Colorado,2024,gun_deaths_per_100k,0.2281837716,z-score within 2024; raw=16.6 (per 100k population)
state:CT,Connecticut,2021,dv_rate,-0.6805491406,z-score within 2021; raw=410.42 (per 100k female population)
state:CT,Connecticut,2021,sexual_assault_rate,-0.6314349869,z-score within 2021; raw=53.4006 (per 100k female population)
state:CT,Connecticut,2021,firearm_share,-1.085759551,z-score within 2021; raw=0.0208928 (proportion)
state:CT,Connecticut,2021,fem_poverty_rate,-1.024519568,z-score within 2021; raw=0.108 (proportion)
state:CT,Connecticut,2021,unemployment_rate,0.6239831749,z-score within 2021; raw=0.067 (proportion)
state:CT,Connecticut,2021,gun_deaths_per_100k,-1.495856187,z-score within 2021; raw=6 (per 100k population)
state:CT,Connecticut,2022,dv_rate,-0.8851996317,z-score within 2022; raw=404.12 (per 100k female population)
state:CT,Connecticut,2022,sexual_assault_rate,-0.8832506839,z-score within 2022; raw=47.2906 (per 100k female population)
state:CT,Connecticut,2022,firearm_share,-1.238539847,z-score within 2022; raw=0.0209937 (proportion)
state:CT,Connecticut,2022,fem_poverty_rate,-0.8943419503,z-score within 2022; raw=0.11 (proportion)
state:CT,Connecticut,2022,unemployment_rate,0.8834484716,z-score within 2022; raw=0.047 (proportion)
state:CT,Connecticut,2022,gun_deaths_per_100k,-1.429156718,z-score within 2022; raw=6.7 (per 100k population)
state:CT,Connecticut,2023,dv_rate,-1.095281036,z-score within 2023; raw=378.671 (per 100k female population)
