data_year,weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,sex_code,age_range_low_num,age_range_high_num,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,25,25 Years Old,Attempting Other Arrests,I,LAKEWOOD,Lakewood,Colorado,158977,237,38,43,79,1.8,2.5,3/12/21 0:00,7,Not Hispanic or Latino,None,F,25,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,25,25 Years Old,Attempting Other Arrests,I,LAKEWOOD,Lakewood,Colorado,158977,237,38,43,79,1.8,2.5,3/12/21 0:00,7,Not Hispanic or Latino,None,F,25,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,43,43 Years Old,Traffic Pursuits and Stops,I,LARIMER,Larimer,Colorado,86763,251,50,34,80,3.3,4.8,6/17/21 0:00,16,Not Hispanic or Latino,None,F,43,,
2021,Personal Weapons,t,None (no bias),Victim was Otherwise Known,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,44,44 Years Old,"Handling, Transporting, Custody of Prisoners",I,FREMONT,Fremont,Colorado,26783,37,36,8,18,1.7,3.7,3/27/21 0:00,15,Not Hispanic or Latino,Minor Injury,F,44,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,Black or African American,20,50,50 Years Old,Handling Persons with Mental Illness,I,DECATUR,Decatur,Georgia,13776,29,15,2,19,2.3,4.7,6/21/21 0:00,11,Unknown,Minor Injury,F,50,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,Black or African American,20,39,39 Years Old,Handling Persons with Mental Illness,I,DECATUR,Decatur,Georgia,13776,29,15,2,19,2.3,4.7,6/21/21 0:00,11,Unknown,None,F,39,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,21,21 Years Old,"Handling, Transporting, Custody of Prisoners",I,PAYETTE,Payette,Idaho,8065,14,0,0,2,1.7,2,2/25/21 0:00,2,Not Hispanic or Latino,None,F,21,,
2021,,,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Intimidation,Person,f,t,10,Assault Offenses,A    ,White,10,26,26 Years Old,Civil Disorder,I,DAVIESS,Daviess,Kentucky,42290,31,0,2,6,0.8,0.9,7/26/21 0:00,23,Not Hispanic or Latino,None,F,26,,
2021,,,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Intimidation,Person,f,t,10,Assault Offenses,A    ,White,10,26,26 Years Old,Civil Disorder,I,DAVIESS,Daviess,Kentucky,42290,31,0,2,6,0.8,0.9,7/26/21 0:00,23,Not Hispanic or Latino,None,F,26,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,28,28 Years Old,Investigating Suspicious Persons or Circumstances,I,LEXINGTON,Lexington,Kentucky,328965,469,59,52,55,1.6,1.9,9/24/21 0:00,10,Not Hispanic or Latino,Minor Injury,F,28,,
