year,ori,agency_name,agency_type,county,state,latitude,longitude,nibrs_participation
2021,AL0430200,Opelika Police Department,City,LEE,AL,32.604064,-85.353048,TRUE
2021,AL0430100,Auburn Police Department,City,LEE,AL,32.608086,-85.475136,TRUE
2021,AL0430000,Lee County Sheriff's Office,County,LEE,AL,32.604064,-85.353048,TRUE
2021,AL0070100,Centreville Police Department,City,BIBB,AL,33.015893,-87.127148,TRUE
2021,AL0070000,Bibb County Sheriff's Office,County,BIBB,AL,32.939995,-87.11683,TRUE
2021,AL0070300,West Blocton Police Department,City,BIBB,AL,33.015893,-87.127148,TRUE
2021,AL0070200,Brent Police Department,City,BIBB,AL,33.015893,-87.127148,TRUE
2021,AL0170000,Clay County Sheriff's Office,County,CLAY,AL,33.267809,-85.862051,TRUE
2021,AL0170200,Lineville Police Department,City,CLAY,AL,33.267809,-85.862051,TRUE
2021,AL0170100,Ashland Police Department,City,CLAY,AL,33.267809,-85.862051,TRUE
2021,AL0260900,Clayhatchee Police Department,City,DALE,AL,31.23572,-85.72021,TRUE
2021,AL0260000,Dale County Sheriff's Office,County,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0260100,Ozark Police Department,City,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0260200,Daleville Police Department,City,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0260300,Level Plains Police Department,City,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0260400,Napier Field Police Department,City,DALE,AL,31.314436,-85.453896,TRUE
2021,AL0260500,Newton Police Department,City,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0260600,Midland City Police Department,City,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0260700,Pinckard Police Department,City,DALE,AL,31.430654,-85.609476,TRUE
2021,AL0360100,Greensboro Police Department,City,HALE,AL,32.7041,-87.59217,TRUE
2021,AL0550100,Troy Police Department,City,PIKE,AL,31.798651,-85.941604,TRUE
2021,AL0550200,Brundidge Police Department,City,PIKE,AL,31.72041,-85.81567,TRUE
2021,AL0550300,Troy University,University or College,PIKE,AL,31.798651,-85.941604,TRUE
